"Czas (s)";"Napięcie (V)"
45.800;0.031
45.850;0.031
45.900;0.031
45.950;0.031
46.000;0.031
46.050;0.031
46.100;0.030
46.150;0.030
46.200;0.031
46.250;0.030
46.300;0.031
46.350;0.030
46.400;0.030
46.450;0.030
46.500;0.030
46.550;0.029
46.600;0.029
46.650;0.029
46.700;0.029
46.750;0.029
46.800;0.028
46.850;0.028
46.900;0.028
46.950;0.029
47.000;0.028
47.050;0.028
47.100;0.027
47.150;0.027
47.200;0.026
47.250;0.026
47.300;0.026
47.350;0.026
47.400;0.026
47.450;0.025
47.500;0.025
47.550;0.025
47.600;0.025
47.650;0.025
47.700;0.025
47.750;0.025
47.800;0.024
47.850;0.024
47.900;0.024
47.950;0.024
48.000;0.024
48.050;0.024
48.100;0.024
48.150;0.024
48.200;0.023
48.250;0.023
48.300;0.023
48.350;0.023
48.400;0.023
48.450;0.023
48.500;0.023
48.550;0.022
48.600;0.022
48.650;0.022
48.700;0.023
48.750;0.023
48.800;0.023
48.850;0.022
48.900;0.021
48.950;0.022
49.000;0.022
49.050;0.022
49.100;0.022
49.150;0.022
49.200;0.021
49.250;0.020
49.300;0.020
49.350;0.020
49.400;0.020
49.450;0.021
49.500;0.021
49.550;0.020
49.600;0.020
49.650;0.020
49.700;0.019
49.750;0.019
49.800;0.020
49.850;0.020
49.900;0.020
49.950;0.019
50.000;0.019
50.050;0.019
50.100;0.019
50.150;0.019
50.200;0.019
50.250;0.019
50.300;0.019
50.350;0.019
50.400;0.019
50.450;0.018
50.500;0.018
50.550;0.018
50.600;0.017
50.650;0.017
50.700;0.017
50.750;0.017
50.800;0.017
50.850;0.017
50.900;0.017
50.950;0.017
51.000;0.016
51.050;0.016
51.100;0.017
51.150;0.016
51.200;0.017
51.250;0.017
51.300;0.017
51.350;0.016
51.400;0.016
51.450;0.016
51.500;0.016
51.550;0.016
51.600;0.016
51.650;0.016
51.700;0.016
51.750;0.015
51.800;0.015
51.850;0.016
51.900;0.015
51.950;0.015
52.000;0.015
52.050;0.016
52.100;0.015
52.150;0.014
52.200;0.015
52.250;0.015
52.300;0.015
52.350;0.015
52.400;0.014
52.450;0.014
52.500;0.013
52.550;0.014
52.600;0.014
52.650;0.014
52.700;0.014
52.750;0.014
52.800;0.014
52.850;0.014
52.900;0.013
52.950;0.013
53.000;0.014
53.050;0.014
53.100;0.013
53.150;0.013
53.200;0.013
53.250;0.013
53.300;0.013
53.350;0.013
53.400;0.013
53.450;0.013
53.500;0.012
53.550;0.011
53.600;0.012
53.650;0.012
53.700;0.012
53.750;0.012
53.800;0.012
53.850;0.011
53.900;0.011
53.950;0.011
54.000;0.011
54.050;0.011
54.100;0.011
54.150;0.012
54.200;0.011
54.250;0.011
54.300;0.010
54.350;0.011
54.400;0.011
54.450;0.010
54.500;0.011
54.550;0.011
54.600;0.011
54.650;0.011
54.700;0.010
54.750;0.010
54.800;0.010
54.850;0.010
54.900;0.010
54.950;0.010
55.000;0.010
55.050;0.009
55.100;0.010
55.150;0.010
55.200;0.010
55.250;0.010
55.300;0.010
55.350;0.009
55.400;0.010
55.450;0.010
55.500;0.010
55.550;0.009
55.600;0.010
55.650;0.009
55.700;0.009
55.750;0.009
55.800;0.010
55.850;0.009
55.900;0.009
55.950;0.009
56.000;0.009
56.050;0.009
56.100;0.009
56.150;0.009
56.200;0.009
56.250;0.009
56.300;0.009
56.350;0.009
56.400;0.009
56.450;0.008
56.500;0.008
56.550;0.009
56.600;0.008
56.650;0.008
56.700;0.008
56.750;0.008
56.800;0.008
56.850;0.008
56.900;0.008
56.950;0.008
57.000;0.009
57.050;0.009
57.100;0.009
57.150;0.008
57.200;0.008
57.250;0.008
57.300;0.008
57.350;0.009
57.400;0.008
57.450;0.008
57.500;0.008
57.550;0.007
57.600;0.008
57.650;0.008
57.700;0.008
57.750;0.008
57.800;0.008
57.850;0.008
57.900;0.008
57.950;0.007
58.000;0.008
58.050;0.007
58.100;0.008
58.150;0.007
58.200;0.007
58.250;0.006
58.300;0.007
58.350;0.007
58.400;0.007
58.450;0.007
58.500;0.008
58.550;0.007
58.600;0.007
58.650;0.007
58.700;0.008
58.750;0.007
58.800;0.008
58.850;0.007
58.900;0.007
58.950;0.006
59.000;0.006
59.050;0.006
59.100;0.007
59.150;0.007
59.200;0.007
59.250;0.007
59.300;0.007
59.350;0.007
59.400;0.006
59.450;0.007
59.500;0.007
59.550;0.006
59.600;0.007
59.650;0.006
59.700;0.006
59.750;0.006
59.800;0.006
59.850;0.006
59.900;0.006
59.950;0.006
60.000;0.006
60.050;0.006
60.100;0.006
60.150;0.006
60.200;0.006
60.250;0.006
60.300;0.006
60.350;0.005
60.400;0.006
60.450;0.006
60.500;0.005
60.550;0.005
60.600;0.006
60.650;0.006
60.700;0.006
60.750;0.005
60.800;0.005
60.850;0.005
60.900;0.005
60.950;0.006
61.000;0.006
61.050;0.006
61.100;0.005
61.150;0.005
61.200;0.006
61.250;0.006
61.300;0.006
61.350;0.006
61.400;0.005
61.450;0.005
61.500;0.005
61.550;0.005
61.600;0.005
61.650;0.005
61.700;0.006
61.750;0.006
61.800;0.005
61.850;0.005
61.900;0.005
61.950;0.005
62.000;0.005
62.050;0.005
62.100;0.006
62.150;0.005
62.200;0.006
62.250;0.005
62.300;0.005
62.350;0.005
62.400;0.005
62.450;0.005
62.500;0.005
62.550;0.005
62.600;0.004
62.650;0.005
62.700;0.004
62.750;0.004
62.800;0.005
62.850;0.004
62.900;0.004
62.950;0.004
63.000;0.004
63.050;0.004
63.100;0.004
63.150;0.005
63.200;0.005
63.250;0.004
63.300;0.004
63.350;0.004
63.400;0.004
63.450;0.004
63.500;0.005
63.550;0.005
63.600;0.004
63.650;0.004
63.700;0.004
63.750;0.004
63.800;0.004
63.850;0.005
63.900;0.005
63.950;0.004
64.000;0.004
64.050;0.004
64.100;0.004
64.150;0.004
64.200;0.004
64.250;0.005
64.300;0.005
64.350;0.004
64.400;0.004
64.450;0.004
64.500;0.004
64.550;0.005
64.600;0.005
64.650;0.005
64.700;0.004
64.750;0.004
64.800;0.004
64.850;0.004
64.900;0.004
64.950;0.005
65.000;0.005
65.050;0.005
65.100;0.004
65.150;0.004
65.200;0.004
65.250;0.005
65.300;0.005
65.350;0.005
65.400;0.005
65.450;0.004
65.500;0.004
65.550;0.004
65.600;0.004
65.650;0.004
65.700;0.004
65.750;0.004
65.800;0.004
65.850;0.004
65.900;0.004
65.950;0.004
66.000;0.004
66.050;0.004
66.100;0.004
66.150;0.004
66.200;0.004
66.250;0.004
66.300;0.004
66.350;0.004
66.400;0.004
66.450;0.004
66.500;0.004
66.550;0.003
66.600;0.003
66.650;0.003
66.700;0.004
66.750;0.004
66.800;0.004
66.850;0.004
66.900;0.003
66.950;0.003
67.000;0.003
67.050;0.004
67.100;0.004
67.150;0.004
67.200;0.004
67.250;0.003
67.300;0.003
67.350;0.003
67.400;0.003
67.450;0.004
67.500;0.004
67.550;0.003
67.600;0.003
67.650;0.003
67.700;0.003
67.750;0.004
67.800;0.004
67.850;0.004
67.900;0.003
67.950;0.003
68.000;0.003
68.050;0.003
68.100;0.004
68.150;0.004
68.200;0.004
68.250;0.004
68.300;0.004
68.350;0.004
68.400;0.004
68.450;0.003
68.500;0.004
68.550;0.003
68.600;0.003
68.650;0.003
68.700;0.002
68.750;0.002
68.800;0.003
68.850;0.003
68.900;0.003
68.950;0.003
