"Czas (s)","Napięcie (V)"
36.300,1.106
36.350,1.103
36.400,1.100
36.450,1.096
36.500,1.092
36.550,1.089
36.600,1.084
36.650,1.081
36.700,1.078
36.750,1.075
36.800,1.072
36.850,1.068
36.900,1.065
36.950,1.060
37.000,1.056
37.050,1.053
37.100,1.049
37.150,1.045
37.200,1.042
37.250,1.039
37.300,1.036
37.350,1.032
37.400,1.028
37.450,1.026
37.500,1.022
37.550,1.019
37.600,1.016
37.650,1.013
37.700,1.009
37.750,1.005
37.800,1.001
37.850,0.998
37.900,0.995
37.950,0.992
38.000,0.989
38.050,0.986
38.100,0.982
38.150,0.979
38.200,0.976
38.250,0.973
38.300,0.969
38.350,0.966
38.400,0.963
38.450,0.960
38.500,0.957
38.550,0.954
38.600,0.951
38.650,0.949
38.700,0.946
38.750,0.942
38.800,0.939
38.850,0.935
38.900,0.932
38.950,0.929
39.000,0.926
39.050,0.923
39.100,0.920
39.150,0.918
39.200,0.915
39.250,0.912
39.300,0.908
39.350,0.905
39.400,0.903
39.450,0.899
39.500,0.896
39.550,0.894
39.600,0.891
39.650,0.888
39.700,0.886
39.750,0.882
39.800,0.879
39.850,0.876
39.900,0.873
39.950,0.871
40.000,0.868
40.050,0.864
40.100,0.861
40.150,0.859
40.200,0.856
40.250,0.854
40.300,0.851
40.350,0.848
40.400,0.845
40.450,0.842
40.500,0.839
40.550,0.836
40.600,0.834
40.650,0.832
40.700,0.830
40.750,0.827
40.800,0.824
40.850,0.821
40.900,0.818
40.950,0.816
41.000,0.813
41.050,0.810
41.100,0.808
41.150,0.804
41.200,0.801
41.250,0.798
41.300,0.796
41.350,0.794
41.400,0.793
41.450,0.789
41.500,0.787
41.550,0.785
41.600,0.781
41.650,0.778
41.700,0.777
41.750,0.774
41.800,0.771
41.850,0.769
41.900,0.767
41.950,0.764
42.000,0.761
42.050,0.759
42.100,0.756
42.150,0.754
42.200,0.751
42.250,0.748
42.300,0.746
42.350,0.742
42.400,0.740
42.450,0.738
42.500,0.735
42.550,0.733
42.600,0.731
42.650,0.729
42.700,0.726
42.750,0.723
42.800,0.720
42.850,0.718
42.900,0.715
42.950,0.714
43.000,0.712
43.050,0.710
43.100,0.707
43.150,0.705
43.200,0.702
43.250,0.700
43.300,0.697
43.350,0.695
43.400,0.692
43.450,0.690
43.500,0.687
43.550,0.684
43.600,0.683
43.650,0.680
43.700,0.678
43.750,0.676
43.800,0.674
43.850,0.672
43.900,0.670
43.950,0.667
44.000,0.666
44.050,0.663
44.100,0.662
44.150,0.659
44.200,0.658
44.250,0.655
44.300,0.652
44.350,0.650
44.400,0.649
44.450,0.646
44.500,0.644
44.550,0.643
44.600,0.640
44.650,0.638
44.700,0.636
44.750,0.633
44.800,0.631
44.850,0.629
44.900,0.627
44.950,0.625
45.000,0.623
45.050,0.621
45.100,0.618
45.150,0.616
45.200,0.614
45.250,0.613
45.300,0.612
45.350,0.610
45.400,0.607
45.450,0.605
45.500,0.603
45.550,0.601
45.600,0.598
45.650,0.597
45.700,0.595
